지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
168,여수,2023-09-26 01:00,23.3,,,,3.1,,70,,83,,23.7,20.2,1007,,1014.6,,,9,,9,,,10,7,,25,2000,,,21.8,,23.1,23.6,23.7,23.9
168,여수,2023-09-26 02:00,23.2,,,,3.1,,70,,83,,23.5,20.1,1006.5,,1014.1,,,9,,9,,,10,4,,37,2000,,,21.6,,23,23.5,23.7,23.9
168,여수,2023-09-26 03:00,22.9,,,,3.9,,70,,85,,23.7,20.2,1006.1,,1013.7,,,9,,9,,,8,8,Ac,35,2000,,,21.4,,22.9,23.4,23.6,23.9
168,여수,2023-09-26 04:00,22.8,,,,3.8,,70,,85,,23.5,20.1,1005.8,,1013.4,,,9,,9,,,7,7,Sc,16,2000,,,21.5,,22.8,23.3,23.6,23.9
168,여수,2023-09-26 05:00,22.8,,,,3.4,,70,,86,,23.8,20.3,1005.9,,1013.5,,,9,,9,,,7,7,Sc,11,2000,,,21.6,,22.8,23.3,23.6,23.9
168,여수,2023-09-26 06:00,22.7,,,,3.6,,70,,86,,23.7,20.2,1006,,1013.6,,,9,,9,,,9,9,Sc,9,2000,,,21.6,,22.6,23.2,23.5,23.8
168,여수,2023-09-26 07:00,22.7,,,,3.1,,70,,85,,23.4,20,1006.5,,1014.1,,0,,0,,,,10,4,ScAs,8,1951,,,21.6,,22.7,23.2,23.5,23.9
168,여수,2023-09-26 08:00,22.9,,0,,.4,,0,,86,,24,20.4,1006.9,,1014.5,,0,,.14,,,,10,6,ScAs,7,2000,,01,22.9,,22.7,23.2,23.5,23.8
168,여수,2023-09-26 09:00,23,,,9,2.4,,70,,86,,24.1,20.5,1007.3,,1014.9,,0,,.18,,,,10,6,ScAs,5,2000,,,23,,22.9,23.2,23.5,23.8
168,여수,2023-09-26 10:00,24,,,9,2.5,,70,,83,,24.7,20.9,1007,,1014.5,,.1,,.92,,,,7,3,ScAc,10,2000,,,29.9,,23.1,23.4,23.5,23.8
