year,month,metro,city,houseCnt,powerUsage,bill
2022,01,서울특별시,강남구,202623,255.0,32669
2022,01,서울특별시,송파구,211809,254.83,31137
2022,01,부산광역시,강서구,70767,272.52,32437
2022,01,부산광역시,금정구,129039,234.73,27510
2022,01,경기도,양평군,71184,250.94,37000
2022,01,경기도,가평군,39494,227.9,31884
2022,02,서울특별시,강남구,261076,263.07,33362
2022,02,서울특별시,송파구,285531,274.88,34054
2022,02,부산광역시,강서구,70343,273.95,32977
2022,02,부산광역시,금정구,126799,236.47,28313
2022,02,경기도,양평군,71280,247.61,36974
2022,02,경기도,가평군,39546,222.28,31140
2022,03,서울특별시,강남구,261166,243.8,29122
2022,03,서울특별시,송파구,285522,243.89,27245
2022,03,부산광역시,강서구,70360,241.62,26800
2022,03,부산광역시,금정구,126937,206.5,22420
2022,03,경기도,양평군,71346,207.36,28084
2022,03,경기도,가평군,39621,188.05,23828
2022,04,서울특별시,강남구,261041,240.94,28118
2022,04,서울특별시,송파구,285261,251.03,28109
2022,04,부산광역시,강서구,70454,253.69,28352
2022,04,부산광역시,금정구,126882,213.57,22895
2022,04,경기도,양평군,71105,206.79,27901
2022,04,경기도,가평군,39436,185.49,23294
2022,05,서울특별시,강남구,260891,228.12,26298
2022,05,서울특별시,송파구,286094,228.82,24787
2022,05,부산광역시,강서구,70461,233.06,25633
2022,05,부산광역시,금정구,127050,192.16,19890
2022,05,경기도,양평군,71218,181.8,24940
2022,05,경기도,가평군,39566,167.56,21332
2022,06,서울특별시,강남구,260820,250.47,30689
2022,06,서울특별시,송파구,286272,241.61,27131
2022,06,부산광역시,강서구,70492,240.65,26730
2022,06,부산광역시,금정구,127009,197.14,20558
2022,06,경기도,양평군,71512,182.34,25081
2022,06,경기도,가평군,39878,169.91,21505
2022,07,서울특별시,강남구,264224,339.96,47400
2022,07,서울특별시,송파구,286333,309.82,38525
2022,07,부산광역시,강서구,70483,298.97,35166
2022,07,부산광역시,금정구,127000,238.32,26236
2022,07,경기도,양평군,71667,218.1,28632
2022,07,경기도,가평군,39974,206.08,25193
2022,08,서울특별시,강남구,265793,378.1,53882
2022,08,서울특별시,송파구,286408,376.61,48741
2022,08,부산광역시,강서구,70578,382.54,48450
2022,08,부산광역시,금정구,126871,293.07,33496
2022,08,경기도,양평군,71930,270.46,36146
2022,08,경기도,가평군,40060,243.78,30365
2022,09,서울특별시,강남구,265965,287.62,36703
2022,09,서울특별시,송파구,286429,299.99,35255
2022,09,부산광역시,강서구,70632,330.69,39855
2022,09,부산광역시,금정구,126726,251.7,27606
