year,month,metro,city,houseCnt,powerUsage,bill
2020,01,서울특별시,종로구,86256,214.89,26713
2020,01,서울특별시,중구,71055,228.1,26053
2020,01,서울특별시,용산구,121212,243.73,30623
2020,01,서울특별시,성동구,141064,252.81,28156
2020,01,서울특별시,광진구,183442,209.8,23435
2020,01,서울특별시,동대문구,187804,219.74,23713
2020,01,서울특별시,중랑구,191921,224.55,24379
2020,01,서울특별시,성북구,210658,242.6,27779
2020,01,서울특별시,강북구,155559,225.18,24548
2020,01,서울특별시,도봉구,146553,252.81,27169
2020,01,서울특별시,노원구,223360,256.32,25888
2020,01,서울특별시,은평구,220471,236.34,27093
2020,01,서울특별시,서대문구,158053,228.77,25582
2020,01,서울특별시,마포구,191739,229.34,25351
2020,01,서울특별시,양천구,188161,257.66,28931
2020,01,서울특별시,강서구,276637,228.68,24749
2020,01,서울특별시,구로구,203477,234.0,24989
2020,01,서울특별시,금천구,127050,211.9,22438
2020,01,서울특별시,영등포구,203535,219.05,23642
2020,01,서울특별시,동작구,198873,217.11,23898
2020,01,서울특별시,관악구,297023,187.47,19298
2020,01,서울특별시,서초구,182828,268.49,34184
2020,01,서울특별시,강남구,258555,254.67,31054
2020,01,서울특별시,송파구,280650,263.45,30647
2020,01,서울특별시,강동구,199344,234.92,26402
2020,01,경기도,의정부시,209366,253.2,27339
2020,01,경기도,부천시,378841,249.33,28025
2020,01,경기도,광명시,119287,262.92,28605
2020,01,경기도,평택시,310794,221.82,24478
2020,01,경기도,동두천시,48653,243.11,26849
2020,01,경기도,과천시,22073,241.98,28917
2020,01,경기도,구리시,85841,266.54,29327
2020,01,경기도,오산시,121638,231.47,24425
2020,01,경기도,시흥시,251251,232.15,24535
2020,01,경기도,군포시,117769,257.27,27931
2020,01,경기도,의왕시,66218,268.85,30544
2020,01,경기도,하남시,122552,260.27,29605
2020,01,경기도,가평군,36882,209.71,26808
2020,01,경기도,양평군,65695,225.52,29789
2020,02,서울특별시,종로구,86283,211.94,26070
2020,02,서울특별시,중구,71126,223.55,25283
2020,02,서울특별시,용산구,121254,243.27,30524
2020,02,서울특별시,성동구,141005,253.21,28179
2020,02,서울특별시,광진구,181786,208.89,23313
2020,02,서울특별시,동대문구,187923,218.18,23548
2020,02,서울특별시,중랑구,192310,223.49,24167
2020,02,서울특별시,성북구,210581,241.51,27590
2020,02,서울특별시,강북구,155683,225.28,24570
2020,02,서울특별시,도봉구,146527,251.6,26977
2020,02,서울특별시,노원구,223396,254.96,25702
2020,02,서울특별시,은평구,220484,237.27,27153
2020,02,서울특별시,서대문구,158307,227.05,25325
2020,02,서울특별시,마포구,191972,227.95,25151
2020,02,서울특별시,양천구,188256,257.98,29027
2020,02,서울특별시,강서구,276816,228.73,24705
2020,02,서울특별시,구로구,203740,233.45,24928
2020,02,서울특별시,금천구,127235,213.46,22637
2020,02,서울특별시,영등포구,203811,216.87,23119
2020,02,서울특별시,동작구,198865,216.74,23865
2020,02,서울특별시,관악구,297273,187.38,19339
2020,02,서울특별시,서초구,183297,267.82,33913
2020,02,서울특별시,강남구,258590,250.36,30055
2020,02,서울특별시,송파구,281313,263.43,30677
2020,02,서울특별시,강동구,199724,235.52,26371
2020,02,경기도,의정부시,209649,254.86,27538
2020,02,경기도,부천시,379227,248.78,27839
2020,02,경기도,광명시,119118,261.56,28392
2020,02,경기도,평택시,311323,222.51,24858
2020,02,경기도,동두천시,48611,238.2,25912
2020,02,경기도,과천시,22162,243.01,29231
2020,02,경기도,구리시,85865,262.5,28654
2020,02,경기도,오산시,121703,231.54,24412
2020,02,경기도,시흥시,252181,232.58,24653
2020,02,경기도,군포시,117826,260.03,28423
2020,02,경기도,의왕시,67209,271.17,31087
2020,02,경기도,하남시,122585,261.98,29688
2020,02,경기도,가평군,36950,204.98,26110
2020,02,경기도,양평군,65771,223.33,29427
2020,03,서울특별시,종로구,86361,198.08,23151
2020,03,서울특별시,중구,71217,210.79,22823
2020,03,서울특별시,용산구,121319,227.68,27137
2020,03,서울특별시,성동구,140933,237.02,25223
2020,03,서울특별시,광진구,183389,199.89,21445
2020,03,서울특별시,동대문구,187996,205.42,21094
2020,03,서울특별시,중랑구,192372,209.99,21715
2020,03,서울특별시,성북구,210534,227.08,24718
2020,03,서울특별시,강북구,155777,208.24,21415
2020,03,서울특별시,도봉구,146588,234.52,23952
2020,03,서울특별시,노원구,223402,238.55,23069
2020,03,서울특별시,은평구,221817,221.49,24226
2020,03,서울특별시,서대문구,158540,216.29,23146
2020,03,서울특별시,마포구,192210,215.16,22688
2020,03,서울특별시,양천구,188344,244.61,26461
2020,03,서울특별시,강서구,277213,216.84,22570
2020,03,서울특별시,구로구,204070,219.7,22467
2020,03,서울특별시,금천구,127418,200.12,20208
2020,03,서울특별시,영등포구,204061,208.6,21674
2020,03,서울특별시,동작구,198949,204.14,21505
2020,03,서울특별시,관악구,297754,174.95,17152
2020,03,서울특별시,서초구,184192,257.67,32091
2020,03,서울특별시,강남구,258728,244.8,29092
2020,03,서울특별시,송파구,281411,248.39,27687
2020,03,서울특별시,강동구,199820,224.43,24065
2020,03,경기도,의정부시,209646,236.39,24212
2020,03,경기도,부천시,379367,235.5,25403
2020,03,경기도,광명시,118972,248.36,26031
2020,03,경기도,평택시,312004,206.94,21763
2020,03,경기도,동두천시,48668,223.27,23089
2020,03,경기도,과천시,22147,230.94,26633
2020,03,경기도,구리시,85897,249.35,26203
2020,03,경기도,오산시,121755,219.41,22282
2020,03,경기도,시흥시,255534,214.77,21718
2020,03,경기도,군포시,117926,244.77,25431
2020,03,경기도,의왕시,66974,257.93,28509
2020,03,경기도,하남시,118644,248.11,26816
2020,03,경기도,가평군,37013,188.85,22652
2020,03,경기도,양평군,65860,205.24,25848
2020,04,서울특별시,종로구,86745,194.01,22357
2020,04,서울특별시,중구,71359,206.21,22101
2020,04,서울특별시,용산구,121375,228.69,27253
2020,04,서울특별시,성동구,141131,238.84,25631
2020,04,서울특별시,광진구,183642,199.24,21532
2020,04,서울특별시,동대문구,187815,207.64,21460
2020,04,서울특별시,중랑구,192647,210.09,21815
2020,04,서울특별시,성북구,210453,230.18,25161
2020,04,서울특별시,강북구,155963,210.82,21979
2020,04,서울특별시,도봉구,146677,236.64,24462
2020,04,서울특별시,노원구,223418,241.81,23573
2020,04,서울특별시,은평구,222109,223.74,24778
2020,04,서울특별시,서대문구,158602,215.44,23004
2020,04,서울특별시,마포구,192459,214.76,22724
2020,04,서울특별시,양천구,188676,247.91,27297
2020,04,서울특별시,강서구,278485,218.96,23059
2020,04,서울특별시,구로구,205174,220.24,22741
2020,04,서울특별시,금천구,127602,200.28,20367
2020,04,서울특별시,영등포구,206314,205.19,21228
2020,04,서울특별시,동작구,199754,205.78,21903
2020,04,서울특별시,관악구,297966,177.61,17670
2020,04,서울특별시,서초구,184418,258.82,32351
2020,04,서울특별시,강남구,258806,242.19,28541
2020,04,서울특별시,송파구,281743,252.45,28609
2020,04,서울특별시,강동구,200452,228.24,24931
2020,04,경기도,의정부시,210718,239.81,24924
2020,04,경기도,부천시,379591,236.39,25645
2020,04,경기도,광명시,118800,247.91,26032
2020,04,경기도,평택시,314638,208.72,22644
2020,04,경기도,동두천시,48699,219.92,22787
2020,04,경기도,과천시,22161,243.72,28219
2020,04,경기도,구리시,85824,247.55,25993
2020,04,경기도,오산시,121812,221.52,22815
2020,04,경기도,시흥시,257270,217.8,22408
2020,04,경기도,군포시,118567,250.54,26763
2020,04,경기도,의왕시,66711,269.28,30342
2020,04,경기도,하남시,124738,256.33,28110
2020,04,경기도,가평군,37100,188.05,23756
