지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),지면온도(°C)
98,동두천,2020-01-01 1:00,-7.6,,0.1,0,59,1019.1,,,,8,-2.8
98,동두천,2020-01-01 2:00,-7,,0.2,0,57,1018.8,,,,9,-2.8
98,동두천,2020-01-01 3:00,-6.6,,0.3,0,58,1018.6,,,,9,-2.6
98,동두천,2020-01-01 4:00,-6.5,,1.7,180,57,1018.6,,,,9,-2.8
98,동두천,2020-01-01 5:00,-6.4,,1.1,200,60,1018.4,,,,8,-2.6
98,동두천,2020-01-01 6:00,-6.2,,0,0,65,1018.4,,,,8,-2.5
98,동두천,2020-01-01 7:00,-6.1,,1.6,230,71,1018.8,,,,9,-2.5
98,동두천,2020-01-01 8:00,-6.4,,0.2,0,78,1019,0,,,9,-2.5
98,동두천,2020-01-01 9:00,-6,0.1,0.3,0,89,1019.6,0,,,8,-1.8
98,동두천,2020-01-01 10:00,-5.1,,0.7,230,86,1019.9,0.3,,,9,-1
98,동두천,2020-01-01 11:00,-4,,0.6,230,82,1019.4,0.2,,,7,-0.2
98,동두천,2020-01-01 12:00,-2.6,0,0.5,290,81,1018.5,0,,,8,0.4
98,동두천,2020-01-01 13:00,-1.4,,0.8,290,73,1017.7,0.2,,,9,1
98,동두천,2020-01-01 14:00,-0.4,,1.3,230,71,1017.5,0.9,,,8,0.8
98,동두천,2020-01-01 15:00,-0.5,,0.2,0,71,1017.3,0.1,,,8,0.5
98,동두천,2020-01-01 16:00,0,,0.7,230,71,1017.7,0,,,6,-0.1
98,동두천,2020-01-01 17:00,-0.4,,1.8,230,71,1017.8,0,,,7,-0.3
98,동두천,2020-01-01 18:00,-1,,1.2,230,74,1017.8,0,,,0,-0.5
98,동두천,2020-01-01 19:00,-2,,0.3,0,80,1017.9,,,,4,-1
98,동두천,2020-01-01 20:00,-3,,1,90,84,1017.7,,,,0,-1.5
98,동두천,2020-01-01 21:00,-3.4,,0.2,0,86,1018,,,,0,-1.6
98,동두천,2020-01-01 22:00,-3.7,,0.9,20,86,1017.9,,,,1,-1.8
98,동두천,2020-01-01 23:00,-3.6,,0.6,90,88,1018.1,,,,10,-1.8
98,동두천,2020-01-02 0:00,-3.8,,0.8,360,89,1017.6,,,,1,-1.9
98,동두천,2020-01-02 1:00,-3.4,,0.4,0,88,1017.2,,,,0,-1.7
98,동두천,2020-01-02 2:00,-3.3,,0.1,0,88,1016.6,,,,1,-1.4
98,동두천,2020-01-02 3:00,-3.1,,0.4,0,90,1016.7,,,,9,-1.3
98,동두천,2020-01-02 4:00,-3.1,,0.8,20,90,1016.6,,,,9,-1.3
98,동두천,2020-01-02 5:00,-3.1,,0.6,20,90,1016.5,,,,9,-1.3
98,동두천,2020-01-02 6:00,-3,,0.3,0,89,1016.5,,,,9,-1.3
98,동두천,2020-01-02 7:00,-2.8,,0.2,0,89,1016.7,,,,9,-1.3
98,동두천,2020-01-02 8:00,-2.5,,0.1,0,88,1017,0,,,4,-1.2
98,동두천,2020-01-02 9:00,-1.8,,0.2,0,87,1017.3,0,,,8,-0.7
98,동두천,2020-01-02 10:00,-0.9,,0.3,0,84,1017.5,0,,,9,-0.4
98,동두천,2020-01-02 11:00,0,,0.4,0,77,1017.2,0,,,8,0.1
98,동두천,2020-01-02 12:00,2.2,,0.6,250,67,1016.2,0.4,,,8,1.2
98,동두천,2020-01-02 13:00,2.7,,0.9,230,66,1015.2,0,,,9,1.1
98,동두천,2020-01-02 14:00,3.2,,1.2,340,69,1014.6,0,,,9,1
98,동두천,2020-01-02 15:00,3,,3.1,290,69,1015.1,0,,,8,0.6
98,동두천,2020-01-02 16:00,2.7,,3.5,270,67,1015.1,0,,,8,0.4
98,동두천,2020-01-02 17:00,2.1,,1.4,270,71,1014.9,0,,,,-0.3
98,동두천,2020-01-02 18:00,1.3,,1.7,290,75,1014.9,0,,,,-0.2
98,동두천,2020-01-02 19:00,1.2,,0.3,0,74,1014.9,,,,9,-0.3
