瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),瘤搁柯档(∑C)
184,力林,2021-01-01 1:00,4.3,,5.6,320,58,1024.5,,,,9,2.4
184,力林,2021-01-01 2:00,4.2,,5.5,320,54,1024.9,,,,10,2.3
184,力林,2021-01-01 3:00,4.3,0,5.4,320,52,1025.3,,,,10,2.2
184,力林,2021-01-01 4:00,4.2,,4.2,290,47,1025.4,,,,10,2
184,力林,2021-01-01 5:00,4.4,,5.2,290,50,1025.2,,,,9,2.1
184,力林,2021-01-01 6:00,4.3,0,4.2,320,49,1025.2,,,,9,2
184,力林,2021-01-01 7:00,4.6,,4.5,290,53,1025.3,,,,9,2.3
184,力林,2021-01-01 8:00,4.6,,4.5,320,54,1025.3,0,0,,9,2.5
184,力林,2021-01-01 9:00,4.8,0,2.6,340,54,1025.5,0,0.14,,9,3
184,力林,2021-01-01 10:00,4.9,,3,290,48,1026.1,0,0.27,,9,3.9
184,力林,2021-01-01 11:00,5.5,,3,290,49,1025.8,0.1,0.47,,9,6
184,力林,2021-01-01 12:00,5.4,0,3.2,270,53,1025.2,0,0.26,,10,4.9
184,力林,2021-01-01 13:00,5.8,,3.9,320,56,1024.2,0,0.34,,9,5.6
184,力林,2021-01-01 14:00,5.9,,4,320,54,1023.9,0,0.41,,9,5.6
184,力林,2021-01-01 15:00,6.1,0,3.9,320,54,1023.4,0,0.2,,9,5.2
184,力林,2021-01-01 16:00,6.1,,3.6,290,54,1023.2,0,0.33,,9,5.3
184,力林,2021-01-01 17:00,6,,4.3,290,55,1023.2,0,0.12,,9,4.4
184,力林,2021-01-01 18:00,6,0,3.4,290,56,1023.4,0,0.01,,9,4
184,力林,2021-01-01 19:00,6.1,,3.3,290,57,1023.7,,,,8,3.9
184,力林,2021-01-01 20:00,6.3,,2.3,290,55,1023.4,,,,8,3.9
184,力林,2021-01-01 21:00,5.5,,1.9,200,61,1023.3,,,,9,3.8
184,力林,2021-01-01 22:00,6.5,,2.3,290,56,1023.2,,,,8,4.1
184,力林,2021-01-01 23:00,6.9,,3.9,290,59,1023.1,,,,9,4.3
184,力林,2021-01-02 0:00,7.2,0,4.8,290,56,1023.1,,,,9,4.4
184,力林,2021-01-02 1:00,7.1,,5.2,270,46,1023,,,,9,3.9
184,力林,2021-01-02 2:00,6.9,,4.8,270,51,1023.2,,,,9,3.9
184,力林,2021-01-02 3:00,6.8,,5.3,270,51,1023.3,,,,9,3.8
184,力林,2021-01-02 4:00,6.8,,4.5,290,52,1023.1,,,,9,3.8
184,力林,2021-01-02 5:00,6.7,,5.1,290,54,1023.2,,,,9,3.9
184,力林,2021-01-02 6:00,6.8,,5.5,290,51,1023.5,,,,9,3.7
184,力林,2021-01-02 7:00,6.8,,5,290,49,1023.9,,,,9,3.7
184,力林,2021-01-02 8:00,7,,5.1,270,43,1024.2,0,0,,9,3.6
184,力林,2021-01-02 9:00,7.2,,4.8,290,50,1024.6,0,0.07,,9,4.3
184,力林,2021-01-02 10:00,7.3,,4.8,290,51,1025.2,0,0.23,,9,5.5
184,力林,2021-01-02 11:00,7.6,,4.5,340,61,1025,0,0.57,,8,7
184,力林,2021-01-02 12:00,7.1,0,4,360,70,1024.8,0,0.52,,8,7.7
184,力林,2021-01-02 13:00,7.2,,5,360,68,1024.6,0.1,0.69,,8,9.2
184,力林,2021-01-02 14:00,7.6,,4.3,340,63,1024.4,0.3,1.2,,8,12.2
184,力林,2021-01-02 15:00,7.7,0,5,320,56,1024.8,0.4,1.06,,7,9.1
184,力林,2021-01-02 16:00,6.6,,3.5,340,56,1026.2,0.4,0.75,,8,7.1
184,力林,2021-01-02 17:00,5.8,,3.7,340,61,1027.2,0.2,0.33,,7,5.3
184,力林,2021-01-02 18:00,5,,3.9,340,61,1027.8,0,0.03,,7,3.5
184,力林,2021-01-02 19:00,4.3,,4.2,360,51,1028.4,,,,2,2
184,力林,2021-01-02 20:00,3.9,,3.5,360,57,1029.1,,,,1,1.2
184,力林,2021-01-02 21:00,3.7,,2.9,20,57,1028.3,,,,2,0.8
184,力林,2021-01-02 22:00,3.6,,3,20,58,1028.7,,,,2,0.6
184,力林,2021-01-02 23:00,3.1,,4.2,20,60,1029.4,,,,2,0.4
184,力林,2021-01-03 0:00,3,,3.5,20,55,1030.1,,,,3,0.3
184,力林,2021-01-03 1:00,3,,1.5,360,62,1030.3,,,,7,0.9
184,力林,2021-01-03 2:00,3.2,,2.8,20,61,1030.3,,,,6,1
184,力林,2021-01-03 3:00,3.3,,3.5,20,62,1030.3,,,,7,1.4
184,力林,2021-01-03 4:00,3.4,,2.4,20,62,1030.5,,,,8,1.8
184,力林,2021-01-03 5:00,3.5,,3.5,360,62,1030.8,,,,8,1.7
184,力林,2021-01-03 6:00,3.4,,3.8,20,60,1031.3,,,,8,1.7
184,力林,2021-01-03 7:00,3.3,,3,20,62,1031.4,,,,8,1.6
184,力林,2021-01-03 8:00,3.2,,2.7,50,61,1031.3,0,0.01,,7,1.6
184,力林,2021-01-03 9:00,3.6,,3.2,20,59,1031.5,0.1,0.21,,6,2.1
184,力林,2021-01-03 10:00,4.1,,3.8,20,59,1032.2,0.4,0.6,,5,4.2
184,力林,2021-01-03 11:00,4.8,,2.7,20,56,1032.1,0.5,1.02,,6,7
184,力林,2021-01-03 12:00,5.5,,2.5,360,54,1031.3,0.6,1.32,,6,11.6
184,力林,2021-01-03 13:00,5.3,,3.4,360,53,1031,0.7,1.65,,6,12.7
184,力林,2021-01-03 14:00,5.3,,2.2,360,54,1030.6,0.5,1.24,,7,11
184,力林,2021-01-03 15:00,5.2,,2.3,340,56,1030.8,0.3,0.97,,8,8.2
184,力林,2021-01-03 16:00,5.1,,1.5,50,56,1029.8,0,0.54,,9,7.5
184,力林,2021-01-03 17:00,4.8,,2.6,20,58,1030.1,0,0.25,,8,4.9
184,力林,2021-01-03 18:00,4.8,,2.8,20,57,1030.1,0,0.04,,9,3.4
184,力林,2021-01-03 19:00,5,,3.2,20,55,1030.3,,,,6,2.3
184,力林,2021-01-03 20:00,4.5,,0.8,200,60,1030.7,,,,7,2.3
184,力林,2021-01-03 21:00,4.6,,1.2,110,60,1030.6,,,,9,2.8
184,力林,2021-01-03 22:00,5.1,,1.7,70,54,1030.6,,,,9,2.7
184,力林,2021-01-03 23:00,5,,1.7,90,53,1030.4,,,,10,2.7
184,力林,2021-01-04 0:00,5.3,,2.2,50,48,1030,,,,9,2.5
184,力林,2021-01-04 1:00,4.8,,1,140,52,1030.3,,,,8,2.1
184,力林,2021-01-04 2:00,4.3,,1.3,110,54,1030.2,,,,7,1.3
184,力林,2021-01-04 3:00,3.5,,2.6,160,58,1030.7,,,,7,1
184,力林,2021-01-04 4:00,2.9,,1.2,180,61,1030.7,,,,3,0.7
184,力林,2021-01-04 5:00,2.6,,1.3,180,64,1029.7,,,,2,0.7
184,力林,2021-01-04 6:00,2.5,,1.4,160,65,1029.5,,,,2,0.1
184,力林,2021-01-04 7:00,2.4,,1.4,160,68,1029.3,,,,2,0.2
184,力林,2021-01-04 8:00,2.4,,2.1,160,70,1028.8,0,0.01,,0,0.3
184,力林,2021-01-04 9:00,4,,2.3,160,64,1028.6,0.2,0.24,,0,0.7
184,力林,2021-01-04 10:00,7.6,,1.5,140,54,1028.3,1,0.91,,0,3.4
