지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),지면온도(°C)
168,여수,2022-01-01 1:00,-2.6,,6.5,320,42,1022.7,,,,9,-3
168,여수,2022-01-01 2:00,-2.7,,7.2,320,38,1022.6,,,,9,-2.8
168,여수,2022-01-01 3:00,-2.6,,6.2,320,37,1022.1,,,,9,-2.7
168,여수,2022-01-01 4:00,-2.8,,0.6,340,39,1021.6,,,,8,-3
168,여수,2022-01-01 5:00,-3.1,,0.7,290,41,1021.3,,,,5,-4.1
168,여수,2022-01-01 6:00,-3.1,,1.2,20,38,1021.7,,,,0,-4.2
168,여수,2022-01-01 7:00,-3.2,,1.2,340,38,1022,,,,3,-4.5
168,여수,2022-01-01 8:00,-3.2,,1.6,20,41,1022.2,0,0,,2,-4
168,여수,2022-01-01 9:00,-2,,1.9,50,47,1022.4,0.7,0.17,,0,3
168,여수,2022-01-01 10:00,0.5,,1.7,200,40,1023.6,1,0.95,,2,11.3
168,여수,2022-01-01 11:00,1.4,,1.4,90,44,1023.2,1,1.63,,3,16.2
168,여수,2022-01-01 12:00,3,,0.9,230,42,1022.2,1,2.07,,0,22.7
168,여수,2022-01-01 13:00,4.5,,1.7,200,36,1021.2,1,2.25,,1,23.2
168,여수,2022-01-01 14:00,5.2,,1.5,110,34,1020.2,1,2.15,,2,21.1
168,여수,2022-01-01 15:00,5.7,,2.2,180,20,1019.8,1,1.77,,0,16.4
168,여수,2022-01-01 16:00,5.8,,1.8,200,28,1019.7,1,1.11,,0,8.5
168,여수,2022-01-01 17:00,4.7,,1.6,110,47,1019.6,1,0.24,,2,3.7
168,여수,2022-01-01 18:00,3.5,,0.2,0,52,1019.9,0,0,,3,0.2
168,여수,2022-01-01 19:00,2.5,,1,200,46,1020,,,,4,-1
168,여수,2022-01-01 20:00,1.9,,0.6,270,42,1019.9,,,,5,-1.9
168,여수,2022-01-01 21:00,1.8,,0.6,250,42,1019.8,,,,5,-1.8
168,여수,2022-01-01 22:00,1.7,,0.9,270,49,1019.7,,,,7,-2.4
168,여수,2022-01-01 23:00,1.6,,0.9,270,47,1019.7,,,,5,-2.5
168,여수,2022-01-02 0:00,1.6,,1,290,52,1019.5,,,,8,-1.7
168,여수,2022-01-02 1:00,1.7,,1.2,340,51,1019,,,,7,-0.9
168,여수,2022-01-02 2:00,1.7,,1.3,290,46,1018.7,,,,4,-2.2
168,여수,2022-01-02 3:00,0.9,,1.2,250,53,1018.5,,,,0,-2.6
168,여수,2022-01-02 4:00,0.7,,3.5,270,51,1017.9,,,,0,-2.3
168,여수,2022-01-02 5:00,0.2,,3,270,48,1017.6,,,,0,-2.5
