지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
168,여수,2022-09-26 01:00,19.5,,,,3.9,,50,,68,,15.4,13.4,1008.3,,1016,,,9,,9,,,10,4,,42,2000,,,18.3,,20.7,21.1,22.3,22.5
168,여수,2022-09-26 02:00,19.4,,,,2.6,,70,,67,,15.1,13.1,1008.3,,1016,,,9,,9,,,10,9,,48,2000,,,18.1,,20.5,21,22.3,22.5
168,여수,2022-09-26 03:00,19.3,,,,3.1,,70,,68,,15.2,13.2,1008.1,,1015.8,,,9,,9,,,9,0,Ci,,2000,,,17.9,,20.5,20.9,22.2,22.5
168,여수,2022-09-26 04:00,19.1,,,,2.3,,50,,72,,15.9,13.9,1007.9,,1015.6,,,9,,9,,,9,4,AcCi,33,2000,,,17.7,,20.3,20.8,22.1,22.4
168,여수,2022-09-26 05:00,19,,,,2.8,,50,,70,,15.3,13.3,1008,,1015.7,,,9,,9,,,9,0,Ci,,2000,,,17.3,,20.2,20.7,22.1,22.4
168,여수,2022-09-26 06:00,19,,,,3.5,,50,,70,,15.3,13.3,1008.5,,1016.2,,,9,,9,,,9,3,AcCi,40,2000,,,17.5,,20,20.6,22,22.4
168,여수,2022-09-26 07:00,19,,,,2.3,,70,,69,,15.1,13.1,1008.7,,1016.4,,0,,.02,,,,9,5,AcCi,33,2000,,,18.1,,20,20.6,22,22.3
168,여수,2022-09-26 08:00,19.4,,,,2.7,,70,,68,,15.3,13.3,1009.4,,1017.1,,0,,.18,,,,9,7,AcCi,33,2000,,,20.5,,20,20.5,21.9,22.3
168,여수,2022-09-26 09:00,19.7,,,,3.6,,70,,69,,15.8,13.8,1009.5,,1017.2,,0,,.35,,,,10,10,As,31,2000,,,20.9,,20.1,20.5,21.9,22.3
168,여수,2022-09-26 10:00,20.1,,0,,2,,110,,64,,15,13,1010,,1017.7,,0,,.34,,,,10,10,As,23,2000,,01,21.8,,20.3,20.6,21.8,22.2
168,여수,2022-09-26 11:00,20.6,,,9,4.5,,70,,67,,16.2,14.2,1009.4,,1017.1,,0,,.77,,,,10,10,As,27,2000,,,26.4,,20.5,20.7,21.8,22.2
168,여수,2022-09-26 12:00,21.2,,,9,4.8,,70,,63,,15.8,13.8,1008.9,,1016.6,,.1,,1.39,,,,10,10,As,35,2000,,,29.7,,21,21,21.8,22.2
168,여수,2022-09-26 13:00,21.3,,,9,3.1,,70,,57,,14.4,12.4,1008.2,,1015.8,,0,,1.14,,,,10,10,As,30,2000,,,29.5,,21.6,21.3,21.8,22.1
168,여수,2022-09-26 14:00,21.8,,,9,3.2,,70,,54,,14,12,1008,,1015.6,,0,,1.12,,,,10,10,As,29,2000,,,28.5,,22.1,21.7,21.9,22.1
168,여수,2022-09-26 15:00,21.9,,0,,2.2,,70,,58,,15.2,13.2,1008.2,,1015.8,,0,,.56,,,,10,3,StNs,10,2000,,01,24.8,,22.3,21.9,22,22.2
168,여수,2022-09-26 16:00,21.1,,0,,3.3,,20,,58,,14.5,12.5,1007.8,,1015.5,,0,,.28,,,,10,3,StNs,15,2000,,01,21.9,,22.2,22,22.1,22.2
168,여수,2022-09-26 17:00,21.2,,0,,3.4,,50,,61,,15.3,13.3,1007.9,,1015.6,,0,,.32,,,,10,10,As,25,2000,,01,22,,22,21.9,22.2,22.2
168,여수,2022-09-26 18:00,20.9,,0,,2.1,,20,,60,,14.8,12.8,1008.1,,1015.8,,0,,.07,,,,10,10,As,24,2000,,01,19.8,,21.8,21.8,22.2,22.3
168,여수,2022-09-26 19:00,20.6,,0,,1.9,,20,,54,,13,10.9,1008.5,,1016.2,,0,,0,,,,10,10,As,23,2000,,01,19.1,,21.5,21.7,22.3,22.3
168,여수,2022-09-26 20:00,20.7,,,9,3,,20,,63,,15.3,13.3,1009,,1016.7,,,9,,9,,,10,6,,33,1800,,,19.1,,21.3,21.6,22.3,22.3
168,여수,2022-09-26 21:00,20.7,,,9,4.1,,70,,67,,16.3,14.3,1008.9,,1016.6,,,9,,9,,,10,10,As,30,2000,,,19.1,,21.1,21.4,22.3,22.3
168,여수,2022-09-26 22:00,20.6,,,9,3.5,,70,,68,,16.4,14.4,1008.8,,1016.5,,,9,,9,,,10,5,,33,2000,,,19.1,,20.9,21.3,22.2,22.3
168,여수,2022-09-26 23:00,20.4,,,9,2.9,,50,,66,,15.8,13.8,1008.9,,1016.6,,,9,,9,,,10,7,,38,2000,,,18.8,,20.8,21.2,22.2,22.3
168,여수,2022-09-27 00:00,20.2,,0,,3.8,,50,,69,,16.3,14.3,1008.9,,1016.6,,,9,,9,,,10,10,As,28,2000,,01,18.6,,20.7,21.1,22.1,22.3
168,여수,2022-09-27 01:00,19.8,,0,,2.6,,50,,70,,16.1,14.1,1009.2,,1016.8,,,9,,9,,,10,10,As,38,2000,,01,17.4,,20.6,21,22.1,22.3
168,여수,2022-09-27 02:00,19.6,,,9,2.5,,360,,66,,15,13,1008.4,,1016.1,,,9,,9,,,10,8,,27,2000,,,17.3,,20.5,20.9,22,22.2
168,여수,2022-09-27 03:00,19.7,,,9,3.5,,70,,64,,14.6,12.6,1008.3,,1015.9,,,9,,9,,,10,10,As,27,2000,,,17.6,,20.3,20.8,22,22.2
168,여수,2022-09-27 04:00,19.6,,,9,2.6,,50,,63,,14.3,12.3,1008.2,,1015.9,,,9,,9,,,10,10,As,26,2000,,,17.7,,20.2,20.7,21.9,22.2
168,여수,2022-09-27 05:00,19.5,,,9,1.9,,360,,65,,14.7,12.7,1007.8,,1015.5,,,9,,9,,,10,10,As,26,2000,,,17.1,,20.1,20.6,21.8,22.1
168,여수,2022-09-27 06:00,19.2,,,9,.9,,250,,65,,14.4,12.4,1007.8,,1015.5,,,9,,9,,,7,7,Ac,27,2000,,,17.6,,20,20.5,21.8,22.1
168,여수,2022-09-27 07:00,19.4,,,9,2,,70,,65,,14.6,12.6,1007.7,,1015.4,,0,,.01,,,,7,7,Ac,29,2000,,,18.1,,20,20.5,21.8,22.1
168,여수,2022-09-27 08:00,19.7,,,9,.9,,90,,66,,15.1,13.1,1008.2,,1015.8,,0,,.18,,,,7,7,Ac,35,2000,,,20.6,,20,20.4,21.7,22
168,여수,2022-09-27 09:00,19.9,,,9,5.5,,70,,67,,15.5,13.5,1008.4,,1016.1,,.2,,.59,,,,5,5,Ac,35,2000,,,22.4,,20.1,20.4,21.7,22
168,여수,2022-09-27 10:00,21.1,,,9,4.7,,70,,64,,16,14,1008.9,,1016.6,,.9,,1.87,,,,3,0,Ci,,2000,,,34.2,,20.4,20.5,21.6,22
168,여수,2022-09-27 11:00,22.3,,,9,4.2,,70,,56,,15,13,1008.8,,1016.4,,1,,2.66,,,,1,0,Ci,,2000,,,39.9,,21.2,20.9,21.6,22
168,여수,2022-09-27 12:00,24.4,,,9,2.8,,110,,57,,17.4,15.3,1008.4,,1015.9,,1,,2.94,,,,0,0,,,2000,,,46.9,,22.4,21.6,21.7,22
168,여수,2022-09-27 13:00,24.4,,,9,2.8,,90,,55,,16.7,14.7,1007.7,,1015.2,,1,,3.04,,,,0,0,,,2000,,,48.2,0,23.8,22.5,21.9,22
168,여수,2022-09-27 14:00,25.2,,,9,1.7,,90,,52,,16.6,14.6,1007,,1014.5,,1,,2.9,,,,0,0,,,2000,,,48.6,0,25,23.4,22.1,22
168,여수,2022-09-27 15:00,25.4,,,9,2.4,,90,,47,,15.2,13.2,1006.4,,1013.9,,1,,2.47,,,,2,0,Ci,,2000,,,43.6,,25.9,24.1,22.4,22.2
168,여수,2022-09-27 16:00,25.8,,,9,2.2,,140,,49,,16.2,14.2,1006.2,,1013.7,,1,,1.42,,,,3,0,Ci,,2000,,,38.4,,26.2,24.6,22.7,22.3
168,여수,2022-09-27 17:00,25,,,9,1.9,,110,,57,,17.9,15.8,1006.1,,1013.6,,1,,.56,,,,3,0,Ci,,2000,,,28.7,,26.1,24.8,23,22.4
168,여수,2022-09-27 18:00,23.9,,,9,1.2,,110,,57,,16.8,14.8,1006.1,,1013.6,,.9,,.25,,,,2,0,Ci,,2000,,,23.8,,25.5,24.7,23.2,22.6
168,여수,2022-09-27 19:00,23.1,,,9,1.4,,270,,66,,18.5,16.3,1006.4,,1014,,0,,.01,,,,2,0,,,2000,,,20.9,,24.7,24.4,23.4,22.7
168,여수,2022-09-27 20:00,22.3,,,9,.7,,290,,65,,17.4,15.3,1007,,1014.6,,,9,,9,,,2,0,,,2000,,,19.4,,24,24,23.5,22.8
168,여수,2022-09-27 21:00,21.7,,,9,.5,,110,,69,,17.8,15.7,1007.3,,1014.9,,,9,,9,,,2,0,Ci,,2000,,,18.3,,23.4,23.5,23.4,22.9
168,여수,2022-09-27 22:00,21.3,,,9,.6,,360,,72,,18.2,16,1007.1,,1014.7,,,9,,9,,,5,0,,,2000,,,18.1,,22.8,23.1,23.4,23
168,여수,2022-09-27 23:00,20.8,,,9,.6,,50,,74,,18.1,15.9,1007.4,,1015.1,,,9,,9,,,5,0,,,2000,,,17.8,,22.3,22.9,23.3,23
